"lemma","count","rate","count_all","rate_all","vs_all","rate_not_final","vs_not_final","diff_rates"
"querre",1,0.00164203612479475,30,0.000504489960649783,59466,0.000550943252844957,52637,2.98040881037314
"entendre",3,0.00492610837438424,99,0.00166481687014428,59466,0.00182381214734882,52637,2.70099548440066
"crïer",1,0.00164203612479475,33,0.000554938956714761,59466,0.000607937382449608,52637,2.70099548440066
"tant",6,0.00985221674876847,205,0.00344734806444018,59466,0.0037806105971085,52637,2.60598559298958
"pendre",1,0.00164203612479475,35,0.00058857162075808,59466,0.000645933468852708,52637,2.54211339708297
"öir",1,0.00164203612479475,37,0.000622204284801399,59466,0.000683929555255809,52637,2.40088487502281
"mander",1,0.00164203612479475,41,0.000689469612888037,59466,0.00075992172806201,52637,2.16079638752053
"devant",3,0.00492610837438424,126,0.00211885783472909,59466,0.00233675931379068,52637,2.10809403660539
"demander",1,0.00164203612479475,42,0.000706285944909696,59466,0.00077891977126356,52637,2.10809403660539
"perdre",1,0.00164203612479475,43,0.000723102276931356,59466,0.00079791781446511,52637,2.05790132144812
"parler",2,0.00328407224958949,94,0.00158073521003599,59466,0.00174781997454262,52637,1.87895338045263
"lever",1,0.00164203612479475,52,0.000874449265126291,59466,0.000968900203279062,52637,1.69474226472198
"demeurer",1,0.00164203612479475,57,0.000958530925234588,59466,0.00106389041928681,52637,1.54342599108609
"cant",2,0.00328407224958949,131,0.00220293949483739,59466,0.00245074757299998,52637,1.34002876745459
"trouver",1,0.00164203612479475,88,0.00147983721790603,59466,0.00165282975853487,52637,0.993469603457713
"aller",1,0.00164203612479475,89,0.00149665354992769,59466,0.00167182780173642,52637,0.982180176145693
"mener",1,0.00164203612479475,89,0.00149665354992769,59466,0.00167182780173642,52637,0.982180176145693
"être",1,0.00164203612479475,128,0.00215249049877241,59466,0.00241275148659688,52637,0.680565791345047
"savoir",1,0.00164203612479475,184,0.00309420509198534,59466,0.00347664190588369,52637,0.472305221315962
"dire",3,0.00492610837438424,759,0.0127635960044395,59466,0.014362520660372,52637,0.342983553574687
"faire",1,0.00164203612479475,748,0.0125786163522013,59466,0.014191538271558,52637,0.115705295181822
