"lemma","count_final","rate_final","count_all","rate_all","vs_all","count_not_final","rate_not_final","vs_not_final","diff_rates"
"finer",7,0.00102504026943916,13,0.000218612316281573,59466,6,0.000113988259209301,52637,8.99250744374481
"monter",7,0.00102504026943916,13,0.000218612316281573,59466,6,0.000113988259209301,52637,8.99250744374481
"manière",9,0.00131790891785034,17,0.00028587764436821,59466,8,0.000151984345612402,52637,8.67134646361107
"aporter",10,0.00146434324205594,19,0.000319510308411529,59466,9,0.000170982388813952,52637,8.56429280356649
"bonté",11,0.00161077756626153,21,0.000353142972454848,59466,10,0.000189980432015502,52637,8.47864987553082
"celer",13,0.00190364621467272,25,0.000420408300541486,59466,12,0.000227976518418603,52637,8.35018548347733
"commander",13,0.00190364621467272,25,0.000420408300541486,59466,12,0.000227976518418603,52637,8.35018548347733
"apercevoir",7,0.00102504026943916,14,0.000235428648303232,59466,7,0.000132986302410852,52637,7.70786352320984
"aprendre",7,0.00102504026943916,14,0.000235428648303232,59466,7,0.000132986302410852,52637,7.70786352320984
"sonner",7,0.00102504026943916,14,0.000235428648303232,59466,7,0.000132986302410852,52637,7.70786352320984
"maison",17,0.00248938351149509,34,0.000571755288736421,59466,17,0.000322966734426354,52637,7.70786352320984
"sage",12,0.00175721189046713,24,0.000403591968519826,59466,12,0.000227976518418603,52637,7.70786352320984
"chier",9,0.00131790891785034,18,0.00030269397638987,59466,9,0.000170982388813952,52637,7.70786352320984
"esbäir",6,0.000878605945233563,12,0.000201795984259913,59466,6,0.000113988259209301,52637,7.70786352320984
"povreté",6,0.000878605945233563,12,0.000201795984259913,59466,6,0.000113988259209301,52637,7.70786352320984
"trépasser",6,0.000878605945233563,12,0.000201795984259913,59466,6,0.000113988259209301,52637,7.70786352320984
"accorder",5,0.000732171621027969,10,0.000168163320216594,59466,5,9.49902160077512e-05,52637,7.70786352320984
"espee",5,0.000732171621027969,10,0.000168163320216594,59466,5,9.49902160077512e-05,52637,7.70786352320984
