"lemma","count_final","rate_final","count_all","rate_all","vs_all","count_not_final","rate_not_final","vs_not_final","diff_rates"
"respit",13,0.00110516024823599,17,0.000165759862711831,102558,4,4.40552893881822e-05,90795,25.0857561846468
"esgarder",9,0.000765110941086458,12,0.000117006961914234,102558,3,3.30414670411366e-05,90795,23.1560826319816
"poissant",25,0.0021253081696846,34,0.000331519725423663,102558,9,9.91244011234099e-05,90795,21.4408172518349
"appareiller",11,0.000935135594661226,15,0.000146258702392792,102558,4,4.40552893881822e-05,90795,21.2264090793165
"largement",8,0.000680098614299073,11,0.000107256381754714,102558,3,3.30414670411366e-05,90795,20.5831845617615
"nature",13,0.00110516024823599,18,0.000175510442871351,102558,5,5.50691117352277e-05,90795,20.0686049477174
"compagnie",25,0.0021253081696846,35,0.000341270305583182,102558,10,0.000110138223470455,90795,19.2967355266514
"bonnement",10,0.000850123267873842,14,0.000136508122233273,102558,4,4.40552893881822e-05,90795,19.2967355266514
"deviser",10,0.000850123267873842,14,0.000136508122233273,102558,4,4.40552893881822e-05,90795,19.2967355266514
"débonnaire",14,0.00119017257502338,20,0.00019501160319039,102558,6,6.60829340822732e-05,90795,18.0102864915413
"departir",14,0.00119017257502338,20,0.00019501160319039,102558,6,6.60829340822732e-05,90795,18.0102864915413
"doter",7,0.000595086287511689,10,9.75058015951949e-05,102558,3,3.30414670411366e-05,90795,18.0102864915413
"ennui",7,0.000595086287511689,10,9.75058015951949e-05,102558,3,3.30414670411366e-05,90795,18.0102864915413
"fondre",7,0.000595086287511689,10,9.75058015951949e-05,102558,3,3.30414670411366e-05,90795,18.0102864915413
"réjouir",7,0.000595086287511689,10,9.75058015951949e-05,102558,3,3.30414670411366e-05,90795,18.0102864915413
"celer",16,0.00136019722859815,23,0.000224263343668948,102558,7,7.70967564293188e-05,90795,17.642729624367
"partie",18,0.00153022188217292,26,0.000253515084147507,102558,8,8.81105787763643e-05,90795,17.3670619739862
"esbäir",9,0.000765110941086458,13,0.000126757542073753,102558,4,4.40552893881822e-05,90795,17.3670619739862
"naistre",35,0.00297543143755845,51,0.000497279588135494,102558,16,0.000176221157552729,90795,16.8846435858199
"atendre",13,0.00110516024823599,19,0.00018526102303087,102558,6,6.60829340822732e-05,90795,16.7238374564312
"cure",15,0.00127518490181076,22,0.000214512763509429,102558,7,7.70967564293188e-05,90795,16.540059022844
"tourmenter",19,0.0016152342089603,28,0.000273016244466546,102558,9,9.91244011234099e-05,90795,16.2950211113945
"vraiment",14,0.00119017257502338,21,0.000204762183349909,102558,7,7.70967564293188e-05,90795,15.4373884213211
"aporter",10,0.000850123267873842,15,0.000146258702392792,102558,5,5.50691117352277e-05,90795,15.4373884213211
"étendre",8,0.000680098614299073,12,0.000117006961914234,102558,4,4.40552893881822e-05,90795,15.4373884213211
"sauvage",8,0.000680098614299073,12,0.000117006961914234,102558,4,4.40552893881822e-05,90795,15.4373884213211
"journée",19,0.0016152342089603,29,0.000282766824626065,102558,10,0.000110138223470455,90795,14.665519000255
"aviser",13,0.00110516024823599,20,0.00019501160319039,102558,7,7.70967564293188e-05,90795,14.3347178197982
"aventure",11,0.000935135594661226,17,0.000165759862711831,102558,6,6.60829340822732e-05,90795,14.150939386211
"défendre",11,0.000935135594661226,17,0.000165759862711831,102558,6,6.60829340822732e-05,90795,14.150939386211
"présent",11,0.000935135594661226,17,0.000165759862711831,102558,6,6.60829340822732e-05,90795,14.150939386211
"afaire",9,0.000765110941086458,14,0.000136508122233273,102558,5,5.50691117352277e-05,90795,13.893649579189
"souverain",9,0.000765110941086458,14,0.000136508122233273,102558,5,5.50691117352277e-05,90795,13.893649579189
"taire",14,0.00119017257502338,22,0.000214512763509429,102558,8,8.81105787763643e-05,90795,13.507714868656
"former",7,0.000595086287511689,11,0.000107256381754714,102558,4,4.40552893881822e-05,90795,13.507714868656
"pur",7,0.000595086287511689,11,0.000107256381754714,102558,4,4.40552893881822e-05,90795,13.507714868656
"plaisir",17,0.00144520955538553,27,0.000263265664307026,102558,10,0.000110138223470455,90795,13.1217801581229
"épouser",10,0.000850123267873842,16,0.000156009282552312,102558,6,6.60829340822732e-05,90795,12.8644903511009
"mie",66,0.00561081356796736,106,0.00103356149690907,102558,40,0.000440552893881822,90795,12.7358454475899
"matiere",13,0.00110516024823599,21,0.000204762183349909,102558,8,8.81105787763643e-05,90795,12.5428780923234
"mentir",21,0.00178525886253507,34,0.000331519725423663,102558,13,0.000143179690511592,90795,12.4686598787593
"clamer",16,0.00136019722859815,26,0.000253515084147507,102558,10,0.000110138223470455,90795,12.3499107370569
"accorder",8,0.000680098614299073,13,0.000126757542073753,102558,5,5.50691117352277e-05,90795,12.3499107370569
"chiere",11,0.000935135594661226,18,0.000175510442871351,102558,7,7.70967564293188e-05,90795,12.1293766167523
"remanoir",11,0.000935135594661226,18,0.000175510442871351,102558,7,7.70967564293188e-05,90795,12.1293766167523
"entier",17,0.00144520955538553,28,0.000273016244466546,102558,11,0.000121152045817501,90795,11.928891052839
"fier",9,0.000765110941086458,15,0.000146258702392792,102558,6,6.60829340822732e-05,90795,11.5780413159908
"mari",9,0.000765110941086458,15,0.000146258702392792,102558,6,6.60829340822732e-05,90795,11.5780413159908
"vain",9,0.000765110941086458,15,0.000146258702392792,102558,6,6.60829340822732e-05,90795,11.5780413159908
"confesser",6,0.000510073960724305,10,9.75058015951949e-05,102558,4,4.40552893881822e-05,90795,11.5780413159908
"confort",6,0.000510073960724305,10,9.75058015951949e-05,102558,4,4.40552893881822e-05,90795,11.5780413159908
"eschaper",6,0.000510073960724305,10,9.75058015951949e-05,102558,4,4.40552893881822e-05,90795,11.5780413159908
"guerpir",6,0.000510073960724305,10,9.75058015951949e-05,102558,4,4.40552893881822e-05,90795,11.5780413159908
"honnir",6,0.000510073960724305,10,9.75058015951949e-05,102558,4,4.40552893881822e-05,90795,11.5780413159908
"livrer",6,0.000510073960724305,10,9.75058015951949e-05,102558,4,4.40552893881822e-05,90795,11.5780413159908
"ordonner",6,0.000510073960724305,10,9.75058015951949e-05,102558,4,4.40552893881822e-05,90795,11.5780413159908
"plenté",6,0.000510073960724305,10,9.75058015951949e-05,102558,4,4.40552893881822e-05,90795,11.5780413159908
"sauvement",6,0.000510073960724305,10,9.75058015951949e-05,102558,4,4.40552893881822e-05,90795,11.5780413159908
"tramettre",6,0.000510073960724305,10,9.75058015951949e-05,102558,4,4.40552893881822e-05,90795,11.5780413159908
"travailler",6,0.000510073960724305,10,9.75058015951949e-05,102558,4,4.40552893881822e-05,90795,11.5780413159908
"coucher",13,0.00110516024823599,22,0.000214512763509429,102558,9,9.91244011234099e-05,90795,11.1492249709541
"contree",20,0.00170024653574768,34,0.000331519725423663,102558,14,0.000154193512858638,90795,11.0267060152294
"dolor",10,0.000850123267873842,17,0.000165759862711831,102558,7,7.70967564293188e-05,90795,11.0267060152294
"äie",7,0.000595086287511689,12,0.000117006961914234,102558,5,5.50691117352277e-05,90795,10.8061718949248
"sonner",7,0.000595086287511689,12,0.000117006961914234,102558,5,5.50691117352277e-05,90795,10.8061718949248
"visage",7,0.000595086287511689,12,0.000117006961914234,102558,5,5.50691117352277e-05,90795,10.8061718949248
"pendre",18,0.00153022188217292,31,0.000302267984945104,102558,13,0.000143179690511592,90795,10.6874227532223
"néant",12,0.00102014792144861,21,0.000204762183349909,102558,9,9.91244011234099e-05,90795,10.2915922808807
"appeler",26,0.00221032049647199,46,0.000448526687337897,102558,20,0.000220276446940911,90795,10.0343024738587
"Marie",31,0.00263538213040891,55,0.000536281908773572,102558,24,0.000264331736329093,90795,9.96998002210321
"aimer",18,0.00153022188217292,32,0.000312018565104624,102558,14,0.000154193512858638,90795,9.92403541370641
"assembler",14,0.00119017257502338,25,0.000243764503987987,102558,11,0.000121152045817501,90795,9.82379263174979
"bonté",11,0.000935135594661226,20,0.00019501160319039,102558,9,9.91244011234099e-05,90795,9.43395959080734
"attendre",12,0.00102014792144861,22,0.000214512763509429,102558,10,0.000110138223470455,90795,9.26243305279266
"costé",6,0.000510073960724305,11,0.000107256381754714,102558,5,5.50691117352277e-05,90795,9.26243305279266
"douceur",6,0.000510073960724305,11,0.000107256381754714,102558,5,5.50691117352277e-05,90795,9.26243305279266
"jugement",6,0.000510073960724305,11,0.000107256381754714,102558,5,5.50691117352277e-05,90795,9.26243305279266
