"lemma","count","rate","count_all","rate_all","vs_all","rate_not_final","vs_not_final","diff_rates"
"savoir",3,0.00371287128712871,356,0.00364668162215871,97623,0.00408408825332917,86433,0.909106526799989
"tenir",1,0.00123762376237624,136,0.00139311432756625,97623,0.00156190343965846,86433,0.792381738173817
"parler",1,0.00123762376237624,144,0.00147506222918779,97623,0.00165446068052711,86433,0.748052689884373
"croire",1,0.00123762376237624,147,0.00150579269229587,97623,0.00168916964585286,86433,0.732681744201817
"trouver",1,0.00123762376237624,166,0.00170041895864704,97623,0.0019089930929159,86433,0.648312331233123
"pouvoir",1,0.00123762376237624,195,0.00199748010202514,97623,0.00224451309106476,86433,0.551399663162193
"ouïr",1,0.00123762376237624,203,0.00207942800364668,97623,0.0023370703319334,86433,0.529562052739928
"cant",1,0.00123762376237624,233,0.00238673263472747,97623,0.00268415998519084,86433,0.461084201092523
"faire",3,0.00371287128712871,1202,0.012312672218637,97623,0.0138720164751889,86433,0.267651879866886
"être",1,0.00123762376237624,514,0.00526515267918421,97623,0.00593523307070216,86433,0.208521510045741
"dire",2,0.00247524752475248,1087,0.0111346711328273,97623,0.0125530757928106,86433,0.197182552356618
