sailli	VERcjg	salir
:	PONfbl	:
Il	PROper	il
tent	VERcjg	tendre
sun	DETpos	son
arc	NOMcom	arc
,	PONfbl	,
si	ADVgen	si
trait	VERcjg	traire
a	PRE	a
li	PROper	il
!	PONfrt	!

En	PRE	en
l'	DETdef	le
esclot	NOMcom	esclot
la	PROper	il
feri	VERcjg	ferir
devaunt	ADVgen	devant
,	PONfbl	,
Ele	PROper	elle
chaï	VERcjg	choir
demeintenaunt	ADVgen	demaintenant
;	PONfbl	;
La	DETdef	le
seete	NOMcom	sayette
resort	VERcjg	ressortir
ariere	ADVgen	arrière
,	PONfbl	,
Guigemar	NOMpro	Guigemar
fiert	VERcjg	ferir
en	PRE	en
tel	DETind	tel
maniere	NOMcom	manière
,	PONfbl	,
En	PRE	en
la	DETdef	le
quisse	NOMcom	cuisse
desk'al	ADJqua	déchal
cheval	NOMcom	cheval
,	PONfbl	,
Ke	CONsub	que
tost	ADVgen	tost
l'	PROper	il
estuet	VERcjg	estovoir
descendre	VERinf	descendre
aval	ADVgen	aval
:	PONfbl	:
Ariere	ADVgen	arrière
chiet	VERcjg	chëoir
sur	PRE	sur
l'	DETdef	le
erbe	NOMcom	herbe
drue	ADJqua	dru
Delez	PRE	dalez
la	DETdef	le
bise	NOMcom	bise
k'	PROrel	que
out	VERcjg	avoir
ferue	VERppe	ferir
!	PONfrt	!

La	DETdef	le
bise	NOMcom	bise
,	PONfbl	,
ki	PROrel	qui
nafree	VERppe	navrer
esteit	VERcjg	être
,	PONfbl	,
Anguissuse	ADJqua	angoisseux
ert	VERcjg	être
,	PONfbl	,
si	ADVgen	si
se	PROper	soi
plaineit	VERcjg	plaindre
.	PONfrt	.

Aprés	ADVgen	après
parla	VERcjg	parler
en	PRE	en
itel	ADJqua	itel
guise	NOMcom	guise
:	PONfbl	:
“	PONpga	“
Oï	INJ	oui
!	PONfrt	!

Lase	ADJqua	las
!	PONfrt	!

Jo	PROper	je
sui	VERcjg	estre
ocise	VERppe	ocire
!	PONfrt	!

E	CONcoo	et
tu	PROper	tu
,	PONfbl	,
vassal	NOMcom	vassal
,	PONfbl	,
ki	PROrel	qui
m'	PROper	je
as	VERcjg	avoir
nafree	VERppe	navrer
,	PONfbl	,
Tel	PROind	tel
seit	VERcjg	être
la	DETdef	le
tue	ADJpos	ton
destinee	NOMcom	destinee
:	PONfbl	:
Jamais	ADVgen	jamais
n'	ADVneg	ne
aies	VERcjg	avoir
tu	PROper	tu
medecine	NOMcom	medecine
,	PONfbl	,
Ne	CONcoo	ne
par	PRE	par
herbe	NOMcom	erbe
,	PONfbl	,
ne	CONcoo	ne
par	PRE	par
racine	NOMcom	racine
!	PONfrt	!

Ne	CONcoo	ne
par	PRE	par
mire	NOMcom	mire
,	PONfbl	,
ne	CONcoo	ne
par	PRE	par
poisun	NOMcom	poison
N'	ADVneg	ne
avras	VERcjg	avoir
tu	PROper	tu
jamés	ADVgen	jamais
garisun	NOMcom	garison
De	PRE	de
la	DETdef	le
plaie	NOMcom	plaie
k'	PROrel	que
as	VERcjg	avoir
en	PRE	en
la	DETdef	le
quisse	NOMcom	cuisse
,	PONfbl	,
De	PRE	de
si	ADVgen	si
ke	CONsub	que
cele	PROdem	cel
te	PROper	tu
guarisse	VERcjg	guérir
Ki	PROrel	qui
suffera	VERcjg	souffrir
pur	PRE	pour
tue	ADJpos	ton
amur	NOMcom	amour
Issi	ADVgen	issi
grant	ADJqua	grant
peine	NOMcom	peine
e	CONcoo	et
tel	DETind	tel
dolur	NOMcom	douleur
K'	CONsub	que
unkes	ADVgen	onques
femme	NOMcom	femme
taunt	ADVgen	tant
ne	ADVneg	ne
suffri	VERcjg	souffrir
,	PONfbl	,
E	CONcoo	et
tu	PROper	tu
referas	VERcjg	refaire
taunt	ADVgen	tant
pur	PRE	pour
li	PROper	il
;	PONfbl	;
Dunt	PROrel	dont
tuit	DETind	tot
cil	PROdem	cel
s'	PROper	soi
esmerveillerunt	VERcjg	esmerveiller
Ki	PROrel	qui
aiment	VERcjg	aimer
e	CONcoo	et
amé	VERppe	aimer
avrunt	VERcjg	avoir
U	CONcoo	ou
ki	PROrel	qui
pois	ADVgen	puis
amerunt	VERcjg	aimer
aprés	ADVgen	après
.	PONfrt	.

Va	VERcjg	aler
t'	PROper	tu
en	PROadv	en
de	PRE	de
ci	ADVgen	ci
,	PONfbl	,
lais	VERcjg	laisser
m'	PROper	je
aveir	VERinf	avoir
pés	NOMcom	pès
!	PONfrt	!

”	PONpdr	”
Guigemar	NOMpro	Guigemar
fu	VERcjg	estre
forment	ADVgen	fortement
blesciez	VERppe	blecier
;	PONfbl	;
De	PRE	de
ceo	PROdem	ce
k'	PROrel	que
il	PROper	il
ot	VERcjg	avoir
est	VERcjg	estre
esmaiez	VERppe	esmaiier
.	PONfrt	.

Començat	VERcjg	commencer
sei	PROper	soi
a	PRE	a
purpenser	VERinf	pourpenser
En	PRE	en
quel	DETrel	quel
tere	NOMcom	terre
purrat	VERcjg	pouvoir
aler	VERinf	aler
Pur	PRE	pour
sa	DETpos	son
plaie	NOMcom	plaie
faire	VERinf	faire
guarir	VERinf	guérir
,	PONfbl	,
Kar	CONcoo	car
ne	ADVneg	ne
se	PROper	soi
voelt	VERcjg	vouloir
laissier	VERinf	laisser
murir	VERinf	mourir
.	PONfrt	.

Il	PROper	il
set	VERcjg	savoir
assez	ADVgen	assez
e	CONcoo	et
bien	ADVgen	bien
le	PROper	il
dit	VERcjg	dire
K'	CONsub	que
unke	ADVgen	onques
femme	NOMcom	femme
nule	ADJind	nul
ne	ADVneg	ne
vit	VERcjg	vëoir
A	PRE	a
