Bien	ADVgen	bien
fais	VERcjg	faire
conossance	NOMcom	connaissance
a	PRE	a
toz	DETind	tot
ceus	PROdem	cil
qui	PROrel	que
ces	DETdem	ce
lettres	NOMcom	lettre
verront	VERcjg	vëoir
et	CONcoo	et
orront	VERcjg	ouïr
que	CONsub	que
je	PROper	je
ai	VERcjg	avoir
vendut	VERppe	vendre
bien	ADVgen	bien
et	CONcoo	et
loiaument	ADVgen	loyalement
a	PRE	a
l'	DETdef	le
eglise	NOMcom	église
de	PRE	de
Moustereul	NOMpro	Montreuil
treze	DETcar	treize
livres	NOMcom	livre
de	PRE	de
parisis	ADJqua	parisis
a	PRE	a
penre	VERinf	prendre
chascun	DETind	chascun
an	NOMcom	an
et	CONcoo	et
a	PRE	a
toz	DETind	tot
jors	NOMcom	jour
de	PRE	de
feste	NOMcom	fête
Saint	ADJqua	saint
Martin	NOMpro	Martin
qui	PROrel	que
est	VERcjg	estre
er	PRE.DETdef	en.le
mois	NOMcom	mois
de	PRE	de
novenbre	NOMcom	novembre
,	PONfbl	,
a	PRE	a
deniers	NOMcom	denier
que	PROrel	que
je	PROper	je
ai	VERcjg	avoir
er	PRE.DETdef	en.le
winaige	NOMcom	vinage
de	PRE	de
Guise	NOMpro	Guise
;	PONfbl	;
et	CONcoo	et
ces	DETdem	ce
.xiii	PROcar	treize
.	PONfrt	.

livres	NOMcom	livre
devant	ADVgen	devant
dites	VERppe	dire
vendi	VERcjg	vendre
je	PROper	je
a	PRE	a
l'	DETdef	le
eglise	NOMcom	église
par	PRE	par
mi	NOMcom	mi
deus	DETcar	deux
cens	DETcar	cent
livres	NOMcom	livre
de	PRE	de
parisis	ADJqua	parisis
;	PONfbl	;
et	CONcoo	et
si	ADVgen	si
conois	VERcjg	connaître
que	CONsub	que
ces	DETdem	ce
deus	ADJcar	deux
cens	ADJcar	cent
livres	NOMcom	livre
de	PRE	de
parisis	ADJqua	parisis
ai	VERcjg	avoir
je	PROper	je
eus	PROper	eux
et	CONcoo	et
loial	ADJqua	loyal
paiement	NOMcom	paiement
et	CONcoo	et
entier	ADJqua	entier
li	DETdef	le
eglise	NOMcom	église
devant	ADVgen	devant
dite	VERppe	dire
m'	PROper	je
en	PROadv	en
a	VERcjg	avoir
fait	VERppe	faire
;	PONfbl	;
et	CONcoo	et
je	PROper	je
ai	VERcjg	avoir
fiencé	VERppe	fiancer
de	PRE	de
ma	DETpos	mon
main	NOMcom	main
toute	ADVgen	tout
nue	ADJqua	nu
cest	DETdem	cest
vendaige	NOMcom	vendage
a	PRE	a
tenir	VERinf	tenir
et	CONcoo	et
que	CONsub	que
li	DETdef	le
eglise	NOMcom	église
par	PRE	par
mi	PROper	moi
ne	CONcoo	ne
par	PRE	par
mes	DETpos	mon
oirs	NOMcom	hoir
,	PONfbl	,
a	PRE	a
mon	DETpos	mon
pouoir	NOMcom	pouvoir
,	PONfbl	,
ne	ADVneg	ne
sera	VERcjg	estre
destourbee	VERppe	détourber
que	CONsub	que
au	PRE.DETdef	a
jor	NOMcom	jor
qui	PROrel	que
i	PROadv	i
est	VERcjg	estre
mis	VERppe	metre
n'	ADVneg	ne
ait	VERcjg	avoir
entierement	ADVgen	entièrement
ces	DETdem	ce
.xiii	PROcar	treize
.	PONfrt	.

livres	NOMcom	livre
