MAISTRE	NOMcom	maistre
congnoisse	VERcjg	connaître
si	ADVgen	si
hault	ADVgen	haut
en	PRE	en
advocacïon	NOMcom	avocation
.	PONfrt	.

GUILLEMETTE	NOMcom	guilleme
M'	PROper	je
aist	VERcjg	avoir
Dieu	NOMpro	Dieu
!	PONfrt	!

mais	CONcoo	mais
en	PRE	en
trompacïon	NOMcom	trompation
,	PONfbl	,
au	PRE.DETdef	a
mains	ADVgen	moins
en	PROadv	en
avez	VERcjg	avoir
vous	PROper	vous
le	DETdef	le
los	NOMcom	los
.	PONfrt	.

PATHELIN	NOMcom	patilin
Si	ADVgen	si
ont	VERcjg	avoir
ceulx	PROdem	celui
qui	PROrel	que
de	PRE	de
camelos	NOMcom	chamelos
sont	VERcjg	estre
vestus	VERppe	vestir
et	CONcoo	et
de	PRE	de
camocas	NOMcom	chamocas
,	PONfbl	,
qu'	PROrel	que
ilz	PROper	il
dient	VERcjg	dire
qu'	CONsub	que
i	PROadv	i
sont	VERcjg	estre
advocas	NOMcom	avocat
,	PONfbl	,
mais	CONcoo	mais
pour	PRE	pour
tant	ADVgen	tant
ne	ADVneg	ne
le	PROper	il
sont	VERcjg	estre
ilz	PROper	il
mye	ADVneg	mie
.	PONfrt	.

Laissons	VERcjg	laisser
en	PRE	en
paix	NOMcom	paix
cestebaverie	ADJqua	cestabre
;	PONfbl	;
jem'envueil	ADJqua	jemenvuel
aler	VERinf	aler
a	PRE	a
la	DETdef	le
foire	NOMcom	foire
.	PONfrt	.

GUILLEMETTE	VERcjg	guillement
A	PRE	a
la	DETdef	le
foire	NOMcom	foire
?	PONfrt	?

PATHELINPar	NOMpro	Paulianar
saint	ADJqua	saint
Jehan	NOMpro	Jean
,	PONfbl	,
voire	ADVgen	voir
,	PONfbl	,
a	PRE	a
la	DETdef	le
foire	NOMcom	foire
,	PONfbl	,
gentil	ADJqua	gentil
marchande	NOMcom	marchande
...	PONfbl	.
Vous	PROper	vous
desplaist	VERcjg	déplaire
il	PROimp	il
se	CONsub	se
je	PROper	je
marchande	VERcjg	marchander
du	PRE.DETdef	de.le
drap	NOMcom	drap
ou	CONcoo	o
quelque	DETind	quel
aultre	ADJind	autre
suffraige	NOMcom	souffrège
qui	PROrel	que
soit	VERcjg	estre
bon	ADJqua	bon
pour	PRE	pour
nostre	DETpos	notre
mesnaige	NOMcom	ménage
?	PONfrt	?

Nous	PROper	nous
n'	ADVneg	ne
avons	VERcjg	avoir
robbe	NOMcom	robe
qui	PROrel	que
rien	PROind	rien
vaille	VERcjg	valoir
.	PONfrt	.

GUILLEMETTE	VERcjg	guillement
Vous	PROper	vous
n'	ADVneg	ne
avez	VERcjg	avoir
ne	CONcoo	ne
denier	NOMcom	denier
ne	CONcoo	ne
maille	NOMcom	maille
:	PONfbl	:
qu'	PROint	que
i	PROadv	i
ferez	VERcjg	faire
vous	PROper	vous
?	PONfrt	?

PATHELINVous	NOMpro	Pauillon
ne	ADVneg	ne
sçavez	VERcjg	savoir
,	PONfbl	,
