mendianz	VERppa	mendir
lo	DETdef	le
mangier	VERinf	mangier
de	PRE	de
mi	DETpos	mon
anrme	NOMcom	âme
,	PONfbl	,
la	DETdef	le
viande	NOMcom	viande
de	PRE	de
l'	DETdef	le
espir	NOMcom	espir
.	PONfrt	.

Vraement	ADVgen	vrament
povres	ADJqua	pauvre
et	CONcoo	et
besonious	ADJqua	besoigneux
,	PONfbl	,
huche	VERcjg	huchier
a	PRE	a
celui	PROdem	cel
ki	PROrel	qui
oevret	VERcjg	ovrir
et	CONcoo	et
nuz	ADJqua	nu
ne	ADVneg	ne
clot	VERcjg	clore
por	PRE	por
lo	DETdef	le
tresparfunt	ADJqua	tréparfond
sacrament	NOMcom	sacrement
de	PRE	de
ceste	DETdem	cest
parole	NOMcom	parole
.	PONfrt	.

Li	DETdef	le
oel	NOMcom	ueil
de	PRE	de
toz	PROind	tot
espoirent	VERcjg	espoirer
en	PRE	en
toi	PROper	tu
,	PONfbl	,
Sire	NOMcom	seignor
.	PONfrt	.

Li	DETdef	le
petit	ADJqua	petit
demandarent	VERcjg	demander
lo	DETdef	le
pain	NOMcom	pain
et	CONcoo	et
il	PROper	il
n'	ADVneg	ne
est	VERcjg	estre
ki	PROrel	qui
lur	PROper	leur
briset	VERcjg	briser
.	PONfrt	.

Mais	CONcoo	mais
l'	DETdef	le
om	PROind	on
enat	VERcjg	ainer
esperance	NOMcom	espérance
en	PRE	en
ta	DETpos	ton
bonteit	NOMcom	bonté
.	PONfrt	.

Nos	PROper	nos
toi	PROper	tu
en	PROadv	en
proions	VERcjg	prier
:	PONfbl	:
Brise	VERcjg	brisier
az	PRE.DETdef	à.le
familhous	NOMcom	familieux
ton	DETpos	ton
pain	NOMcom	pain
,	PONfbl	,
se	CONsub	se
tu	PROper	tu
denges	VERcjg	daigner
,	PONfbl	,
parmi	PRE	parmi
mes	DETpos	mon
mains	NOMcom	main
,	PONfbl	,
mais	CONcoo	mais
de	PRE	de
tes	DETpos	ton
forces	NOMcom	force
.	PONfrt	.

Di	VERcjg	dire
nos	PROper	nos
,	PONfbl	,
ce	PROdem	ce
toi	PROper	tu
proi	VERcjg	prier
,	PONfbl	,
cui	PROrel	que
sunt	VERcjg	être
cez	DETdem	cist
paroles	NOMcom	parole
,	PONfbl	,
et	CONcoo	et
a	PRE	a
cui	PROrel	que
,	PONfbl	,
et	CONcoo	et
de	PRE	de
cui:Par	VERinf	coipar
lo	DETdef	le
baisuel	NOMcom	baiser
de	PRE	de
sa	DETpos	son
boiche	NOMcom	boche
moi	PROper	je
baist	VERcjg	baiser
?	PONfrt	?

Di	VERcjg	dire
nos	PROper	nos
queilz	DETrel	quel
est	VERcjg	estre
ciz	DETdem	cist
comencemenz	NOMcom	commencement
de	PRE	de
parleir	VERinf	parler
si	ADVgen	si
subitains	ADJqua	subitain
et	CONcoo	et
si	ADVgen	si
sodainement	ADVgen	soudainement
faiz	VERppe	faire
.	PONfrt	.

Car	CONcoo	car
alsi	ADVgen	aussi
chiet	VERcjg	chëoir
il	PROper	il
en	PRE	en
paroles	NOMcom	parole
cum	CONsub	comme
il	PROper	il
ait	VERcjg	avoir
davant	ADVgen	devant
dit	VERppe	dire
d'	PRE	de
alcunui	PROind	aucun
ki	PROrel	qui
ouist	VERcjg	avoir
parleit	VERppe	parler
et	CONcoo	et
aprés	ADVgen	après
amoint	VERcjg	amener
une	DETndf	un
respondant	VERppa	répondre
persone	NOMcom	personne
,	PONfbl	,
qui	PROrel	que
ki	PROrel	qui
unkes	ADVgen	onques
ele	PROper	il
soit	VERcjg	estre
,	PONfbl	,
qui	PROrel	que
proiet	VERcjg	prier
lo	DETdef	le
baisuel	NOMcom	baiser
.	PONfrt	.

Dent	VERcjg	denir
en	PRE	en
aprés	ADVgen	après
,	PONfbl	,
se	CONsub	se
il	PROper	il
toi	PROper	tu
proiet	VERcjg	prier
u	CONcoo	ou
comandet	VERcjg	commander
que	CONsub	que
ilsoit	VERcjg	illier
baisiez	VERppe	baiser
de	PRE	de
part	NOMcom	part
ne	CONcoo	ne
sa	DETpos	son
cui	PROrel	que
,	PONfbl	,
por	PRE	por
coi	PROint	que
proiet	VERcjg	prier
il	PROper	il
nomeement	ADVgen	nommément
et	CONcoo	et
ensengiement	ADVgen	ensengiement
par	PRE	par
sa	DETpos	son
boiche	NOMcom	boche
,	PONfbl	,
et	CONcoo	et
par	PRE	par
la	DETdef	le
boche	NOMcom	boche
de	PRE	de
lui	PROper	il
,	PONfbl	,
alsi	ADVgen	aussi
cum	CONsub	comme
altre	DETind	autre
chose	NOMcom	chose
que	CONsub	que
la	DETdef	le
boche	NOMcom	boche
,	PONfbl	,
u	CONcoo	ou
chose	NOMcom	chose
qui	PROrel	que
soit	VERcjg	estre
estrange	ADJqua	estrange
a	PRE	a
la	DETdef	le
boche	NOMcom	boche
,	PONfbl	,
