Plaist	VERcjg	plaire
,	PONfbl	,
Tes	DETpos	ton
chevalers	NOMcom	chevalier
en	PROadv	en
meine	VERcjg	mener
en	PRE	en
chaenes	NOMcom	chaine
.	PONfrt	.

Pense	VERcjg	penser
,	PONfbl	,
Tebalt	NOMpro	Tebalt
,	PONfbl	,
que	ADVint	que
paens	NOMcom	païen
nes	ADVneg.PROper	ne
ameinent	VERcjg	amener
.	PONfbl	.
”	PONpdr	”
“	PONpga	“
Franche	ADJqua	franc
meisné	NOMcom	maisné
,	PONfbl	,
dist	VERcjg	dire
Tebald	NOMpro	Thibaud
,	PONfbl	,
que	PROint	que
feruns	VERcjg	faire
?	PONfrt	?

”	PONpdr	”
Dist	VERcjg	dire
li	DETdef	le
messages	NOMcom	message
:	PONfbl	:
“	PONpga	“
Jas	ADVgen	jà
nus	PROper	nous
i	PROadv	i
combatuns	VERcjg	combattre
.	PONfbl	.
”	PONpdr	”
Tedbalt	NOMpro	Tedbald
demande	VERcjg	demander
:	PONfbl	:
“	PONpga	“
Que	PROint	que
feruns	VERcjg	faire
,	PONfbl	,
sire	NOMcom	seignor
Vivien	NOMpro	Vivien
?	PONfrt	?

”	PONpdr	”
Dist	VERcjg	dire
li	DETdef	le
bers	NOMcom	baron
:	PONfbl	:
“	PONpga	“
Nus	PROper	nous
ne	ADVneg	ne
frum	VERcjg	faire
el	PROind	el
que	CONsub	que
ben	NOMcom	bien
.	PONfrt	.

Sire	NOMcom	seignor
Tedbald	NOMpro	Thibaud
,	PONfbl	,
dist	VERcjg	dire
Vivien	NOMpro	Vivien
li	DETdef	le
ber	NOMcom	baron
,	PONfbl	,
Vus	PROper	vous
estes	VERcjg	estre
cunte	NOMcom	comte
e	CONcoo	et
si	ADVgen	si
estes	VERcjg	estre
mult	ADVgen	moult
honuré	VERppe	honorer
Des	PRE.DETdef	de
meillurs	ADJqua	meilleur
homes	NOMcom	homme
de	PRE	de
rivage	NOMcom	rivage
de	PRE	de
mer	NOMcom	mer
.	PONfrt	.

Si	ADVgen	si
m'	PROper	je
en	PROadv	en
creez	VERcjg	croire
,	PONfbl	,
ne	ADVneg	ne
serras	VERcjg	sëoir
ja	ADVgen	ja
blamé	VERppe	blamer
.	PONfrt	.

Pren	VERcjg	prendre
tes	DETpos	ton
messages	NOMcom	message
,	PONfbl	,
fai	VERcjg	faire
tes	DETpos	ton
amis	NOMcom	ami
mander	VERinf	mander
;	PONfbl	;
N'	ADVneg	ne
obliez	VERcjg	oblïer
mie	ADVneg	mie
Willame	NOMpro	Guillaume
al	PRE.DETdef	à.le
cur	NOMcom	cour
niés	NOMcom	nevo
;	PONfbl	;
Sages	ADJqua	sage
hom	NOMcom	homme
est	VERcjg	estre
mult	ADVgen	moult
en	PRE	en
bataille	NOMcom	bataille
chanpel	ADJqua	champel
,	PONfbl	,
Il	PROper	il
la	PROper	il
set	VERcjg	savoir
ben	ADVgen	bien
maintenir	VERinf	maintenir
e	CONcoo	et
garder	VERinf	garder
;	PONfbl	;
S'	CONsub	se
il	PROper	il
vient	VERcjg	venir
,	PONfbl	,
nus	PROper	nous
veintrums	VERcjg	vaincre
Deramed	NOMpro	Deramet
.	PONfbl	.
”	PONpdr	”
“	PONpga	“
Nel	ADVneg.PROper	ne
te	PROper	tu
penser	VERinf	penser
,	PONfbl	,
Tedbald	NOMpro	Thibaud
,	PONfbl	,
ço	PROdem	ce
dist	VERcjg	dire
Esturmi	NOMpro	Esturmi
;	PONfbl	;
En	PRE	en
ceste	DETdem	cest
terre	NOMcom	terre
al	PRE.DETdef	à.le
regne	NOMcom	règne
,	PONfbl	,
u	PROrel	où
que	PROrel	que
arivent	VERcjg	arriver
paen	NOMcom	païen
u	CONcoo	ou
Arabit	NOMpro	Arabi
,	PONfbl	,
Si	ADVgen	si
mandent	VERcjg	mander
Willame	NOMpro	Guillaume
le	DETdef	le
marchis	NOMcom	marquis
;	PONfbl	;
Si	CONsub	si
de	PRE	de
tes	DETpos	ton
homes	NOMcom	homme
i	PROadv	i
meinent	VERcjg	mener
vint	PROcar	vint
mil	PROcar	mille
,	PONfbl	,
Vienge	VERcjg	venir
Willame	NOMpro	Guillaume
e	CONcoo	et
des	PRE.DETdef	de.le
suens	PROpos	son
n'	ADVneg	ne
i	PROadv	i
ait	VERcjg	avoir
que	ADVgen	que
cinc	PROcar	cinq
,	PONfbl	,
Treis	PROcar	trois
u	CONcoo	ou
quatre	PROcar	catre
,	PONfbl	,
que	CONsub	que
vienge	NOMcom	vienge
a	PRE	a
eschari	VERppe	écharir
,	PONfbl	,
Tu	PROper	tu
te	PROper	tu
combates	VERcjg	combattre
e	CONcoo	et
venques	ADVgen	vainc
Arabiz	NOMpro	Arabi
,	PONfbl	,
Si	ADVgen	si
dist	VERcjg	dire
hom	PROind	on
ço	PROdem	ce
que	PROrel	que
dan	NOMcom	dan
Willame	NOMpro	Guillaume
le	PROper	il
fist	VERcjg	faire
.	PONfrt	.

Qui	PROrel	que
ques	PROrel.PROper	que.se
prenge	VERcjg	prendre
,	PONfbl	,
suens	ADJpos	son
est	VERcjg	estre
tote	DETind	tot
voie	NOMcom	voie
le	DETdef	le
pris	NOMcom	pris
.	PONfrt	.

Cumbatun	NOMcom	combatton
,	PONfbl	,
sire	NOMcom	seignor
,	PONfbl	,
sis	ADVgen.PROper	si.le
veintrun	VERcjg	vaincre
,	PONfbl	,
jo	PROper	je
te	PROper	tu
plevis	VERcjg	plevir
!	PONfrt	!

Al	PRE.DETdef	à.le
pris	NOMcom	pris
Willame	NOMpro	Guillaume
te	PROper	tu
poez	VERcjg	pöoir
faire	VERinf	faire
tenir	VERinf	tenir
.	PONfrt	.

“	PONpga	“
Franche	ADJqua	franc
meisné	NOMcom	maisné
,	PONfbl	,
dist	VERcjg	dire
Vivien	NOMpro	Vivien
,	PONfbl	,
merci	NOMcom	merci
.	PONfrt	.

Od	PRE	o
poi	DETind	peu
conpaignie	NOMcom	compagnie
ne	ADVneg	ne
veintrun	VERcjg	vaincre
pas	ADVneg	pas
Arabiz	NOMpro	Arabi
;	PONfbl	;
Mandum	VERcjg	mander
nus	PROper	nous
,	PONfbl	,
seignurs	NOMcom	seigneur
,	PONfbl	,
pur	PRE	pour
Willame	NOMpro	Guillaume
le	DETdef	le
marchis	NOMcom	marquis
;	PONfbl	;
Sages	ADJqua	sage
hon	NOMcom	ome
est	VERcjg	estre
pur	PRE	pour
bataille	NOMcom	bataille
tenir	VERinf	tenir
.	PONfrt	.

S'	CONsub	se
il	PROper	il
