Philippes	NOMpro	Philippe
se	PROper	soi
peint	VERcjg	peiner
od	PRE	o
ses	DETpos	son
piez	NOMcom	pié
,	PONfbl	,
En	PRE	en
tere	NOMcom	terre
se	PROper	soi
peindrat	VERcjg	peindre
Quant	CONsub	quand
il	PROper	il
mariz	NOMcom	mari
serat	VERcjg	être
;	PONfbl	;
E	CONcoo	et
iceste	DETdem	cist
nature	NOMcom	nature
Mustre	VERcjg	montrer
ceste	DETdem	cest
peinture	NOMcom	peinture
.	PONfrt	.

Jesu	NOMpro	Jésus
Crist	NOMpro	Christ
entendum	VERcjg	entendre
En	PRE	en
semblant	NOMcom	semblant
del	PRE.DETdef	de
leün	NOMcom	lion
,	PONfbl	,
E	CONcoo	et
nus	PROper	nous
sa	DETpos	son
tere	NOMcom	terre
sumes	VERcjg	être
E	CONcoo	et
en	PRE	en
faiture	NOMcom	faiture
d'	PRE	de
umes	NOMcom	homme
,	PONfbl	,
Lores	ADVgen	lors
quant	CONsub	cant
nus	PROper	nous
chastie	VERcjg	chastiier
Que	CONsub	que
ne	ADVneg	ne
façum	VERcjg	faire
folie	NOMcom	folie
,	PONfbl	,
Par	PRE	par
alcune	DETind	aucun
enferté	NOMcom	enferté
,	PONfbl	,
Dunt	PROrel	dont
avum	VERcjg	avoir
volenté	NOMcom	volonté
:	PONfbl	:
Ço	PROdem	ce
s'	DETpos	son
ire	NOMcom	ire
signefie	VERcjg	signefier
E	CONcoo	et
peindre	VERinf	peindre
en	PRE	en
tel	DETind	tel
baillie	NOMcom	baillie
.	PONfrt	.

Quant	CONsub	quand
Deus	NOMpro	Dieu
ne	ADVneg	ne
fait	VERcjg	faire
a	PRE	a
gent	NOMcom	gent
A	PRE	a
trestut	DETind	trèstout
lur	DETpos	leur
talent	NOMcom	talent
,	PONfbl	,
U	PROrel	où
il	PROper	il
sunt	VERcjg	être
enchartré	VERppe	encharter
U	CONcoo	ou
en	PRE	en
enfermeté	NOMcom	enfermeté
,	PONfbl	,
Dunc	ADVgen	donc
dient	VERcjg	dire
li	DETdef	le
dolent	NOMcom	dolent
Deus	NOMpro	Dieu
nes	ADVneg.PROper	ne
aime	VERcjg	amer
neient	PROind	néant
,	PONfbl	,
Ne	CONcoo	ne
ne	ADVneg	ne
l'	PROper	il
unt	VERcjg	avoir
deservi	VERppe	desservir
Qu'	CONsub	que
il	PROper	il
les	PROper	il
chastit	VERcjg	châtir
issi	ADVgen	issi
.	PONfrt	.

Ne	ADVneg	ne
sevent	VERcjg	savoir
li	DETdef	le
dolent	NOMcom	dolent
Que	CONsub	que
devant	PRE	devant
lur	DETpos	leur
nes	NOMcom	nef
pent	VERcjg	pendre
:	PONfbl	:
Tels	PROind	tel
met	VERcjg	metre
Deus	NOMpro	Dieu
en	PRE	en
lïens	NOMcom	lien
Ki	PROrel	qui
fereient	VERcjg	faire
dolenz	ADJqua	dolent
Mainz	PROind	maint
,	PONfbl	,
se	CONsub	se
regner	VERinf	regner
poeient	VERcjg	pouvoir
,	PONfbl	,
Faire	VERinf	faire
ço	PROdem	ce
que	PROrel	que
voldreient	VERcjg	vouloir
:	PONfbl	:
Pur	PRE	pour
ço	PROdem	ce
les	PROper	il
lie	VERcjg	liier
en	PRE	en
mal	NOMcom	mal
Qu'	CONsub	que
il	PROper	il
ne	ADVneg	ne
facent	VERcjg	faire
le	DETdef	le
mal	NOMcom	mal
;	PONfbl	;
Mult	ADVgen	moult
at	VERcjg	avoir
Deus	NOMpro	Dieu
celui	PROdem	cel
chier	ADJqua	chier
Que	PROrel	que
il	PROper	il
volt	VERcjg	vouloir
chastïer	VERinf	châtier
.	PONfrt	.

Aiez	VERcjg	aider
en	PRE	en
remembrance	NOMcom	remembrance
,	PONfbl	,
Ço	PROdem	ce
est	VERcjg	estre
signefiance	NOMcom	signefiance
.	PONfrt	.

Uncor	ADVgen	encore
dit	VERcjg	dire
escripture	NOMcom	écriture
Leüns	NOMpro	Laon
at	VERcjg	avoir
tel	DETind	tel
nature	NOMcom	nature
:	PONfbl	:
Quant	CONsub	quand
l'	DETdef	le
om	PROind	on
le	PROper	il
vait	VERcjg	aller
chaçant	VERppa	chasser
,	PONfbl	,
De	PRE	de
sa	DETpos	son
cue	NOMcom	queue
en	PRE	en
fuiant	VERppa	fuir
Desfait	VERcjg	défaire
sa	DETpos	son
trace	NOMcom	trace
en	PRE	en
tere	NOMcom	terre
,	PONfbl	,
Que	CONsub	que
om	PROind	on
nel	ADVneg.PROper	ne
sace	VERcjg	savoir
quere	VERinf	quérir
.	PONfrt	.

C'	PROdem	ce
est	VERcjg	estre
grant	ADJqua	grant
signefiance	NOMcom	signefiance
,	PONfbl	,
Aiez	VERcjg	aider
en	PRE	en
remembrance	NOMcom	remembrance
.	PONfrt	.

Li	DETdef	le
leüns	NOMcom	lion
en	PRE	en
fuiant	VERppa	fuir
Sa	DETpos	son
trace	NOMcom	trace
vait	VERcjg	aller
cuvrant	VERppa	couvrir
:	PONfbl	:
La	DETdef	le
trace	NOMcom	trace
del	PRE.DETdef	de
leün	NOMcom	lion
Mustre	VERcjg	montrer
incarnatiun	NOMcom	incarnation
Que	PROrel	que
Deus	NOMpro	Dieu
volt	VERcjg	vouloir
prendre	VERinf	prendre
en	PRE	en
tere	NOMcom	terre
Pur	PRE	pour
noz	DETpos	notre
anmes	NOMcom	âme
cunquere	VERinf	conquérir
.	PONfrt	.

Issifaitierement	ADVgen	issifairement
Le	PROper	il
fist	VERcjg	faire
cuvertement	ADVgen	couvertement
:	PONfbl	:
Es	PRE.DETdef	en
degrez	NOMcom	degré
se	PROper	soi
meteit	VERcjg	mettre
Dunt	PROrel	dont
chascun	DETind	chascun
ordre	NOMcom	ordre
esteit	VERcjg	être
,	PONfbl	,
De	PRE	de
prophete	NOMcom	prophète
,	PONfbl	,
d'	PRE	de
apostle	NOMcom	apôtre
,	PONfbl	,
Entresqu'il	ADVgen	entresqueil
vint	VERcjg	venir
al	PRE.DETdef	à.le
nostre	PROpos	nostre
,	PONfbl	,
Tant	ADVgen	tant
qu'	CONsub	que
il	PROper	il
om	PROind	on
fut	VERcjg	être
charnels	ADJqua	charnel
E	CONcoo	et
pur	PRE	pour
nus	PROper	nous
fut	VERcjg	être
mortels	ADJqua	mortel
,	PONfbl	,
E	CONcoo	et
par	PRE	par
ordre	NOMcom	ordre
acceptable	ADJqua	acceptable
Issi	ADVgen	issi
venquit	VERcjg	vaincre
diable	NOMcom	diable
.	PONfrt	.

Diable	NOMcom	diable
ume	NOMcom	homme
deçut	VERcjg	decevoir
;	PONfbl	;
Deus	NOMpro	Dieu
om	NOMcom	homme
,	PONfbl	,
qu'	PROrel	que
il	PROper	il
ne	ADVneg	ne
cunut	VERcjg	connaître
,	PONfbl	,
Venquit	VERcjg	venquir
puis	ADVgen	puis
le	DETdef	le
diable	NOMcom	diable
Par	PRE	par
vertu	NOMcom	vertu
cuvenable	ADJqua	convenable
.	PONfrt	.

Se	CONsub	se
diables	NOMcom	diable
seüst	VERcjg	savoir
Que	CONsub	que
Deus	NOMpro	Dieu
om	NOMcom	homme
mortels	ADJqua	mortel
fust	VERcjg	estre
,	PONfbl	,
Ja	ADVgen	ja
a	PRE	a
ço	PROdem	ce
nel	ADVneg.PROper	ne
menast	VERcjg	mener
Qu'	CONsub	que
il	PROper	il
le	PROper	il
crucifiast	VERcjg	crucifier
.	PONfrt	.

Sil	ADVgen.PROper	si.le
fist	VERcjg	faire
Deus	NOMpro	Dieu
cuintement	ADVgen	cointement
Senz	PRE	sans
aperceivement	NOMcom	apercevoir
.	PONfrt	.

Issi	ADVgen	issi
Deus	NOMpro	Dieu
se	PROper	soi
cuvri	VERcjg	couvrir
Cuntre	PRE	contre
nostre	DETpos	notre
enemi	NOMcom	ennemi
Ne	ADVneg	ne
sout	VERcjg	savoir
que	CONsub	que
Deus	NOMpro	Dieu
om	NOMcom	homme
fu	VERcjg	estre
Devant	ADVgen	devant
qu'	CONsub	que
il	PROper	il
l'	PROper	il
ot	VERcjg	avoir
veü	VERppe	vëoir
.	PONfrt	.

Issi	ADVgen	issi
se	PROper	soi
cuvrit	VERcjg	couvrir
Dés	ADVgen	dès
Qu'	CONsub	que
angeles	NOMcom	ange
espirités	ADJqua	espirité
Neïs	ADVgen	nëis
nel	ADVneg.PROper	ne
cunuisseient	VERcjg	connaître
Ki	PROrel	qui
enz	ADVgen	ens
el	PRE.DETdef	en
ciel	NOMcom	ciel
esteient	VERcjg	être
.	PONfrt	.

Pur	PRE	pour
ço	PROdem	ce
,	PONfbl	,
quant	CONsub	cant
li	DETdef	le
fiz	NOMcom	fils
Dé	NOMpro	dieu
Vint	VERcjg	venir
en	PRE	en
sa	DETpos	son
majesté	NOMcom	majesté
,	PONfbl	,
Dunt	PROrel	dont
il	PROper	il
anceis	ADVgen	ainçois
turnat	VERcjg	tourner
Quant	CONsub	quand
pur	PRE	pour
nus	PROper	nous
s'	PROper	soi
encharnat	VERcjg	encharnir
,	PONfbl	,
As	PRE.DETdef	a
angeles	NOMcom	ange
demanderent	VERcjg	demander
Ki	PROrel	qui
ensemble	ADVgen	ensemble
od	PRE	o
lui	PROper	il
erent	VERcjg	être
:	PONfbl	:
“	PONpga	“
Ki	PROint	qui
est	VERcjg	estre
cist	DETdem	cest
reis	NOMcom	roi
de	PRE	de
gloire	NOMcom	gloire
Ki	PROrel	qui
repaire	VERcjg	repairier
od	PRE	o
victoire	NOMcom	victoire
?	PONfrt	?

”	PONpdr	”
Cil	PROdem	cel
ki	PROrel	qui
od	PRE	o
Dé	NOMpro	dieu
esteient	VERcjg	être
Icest	DETdem	cist
respuns	NOMcom	répons
rendeient	VERcjg	rendre
:	PONfbl	:
“	PONpga	“
Ço	PROdem	ce
est	VERcjg	estre
li	DETdef	le
reis	NOMcom	roi
de	PRE	de
gloire	NOMcom	gloire
Ki	PROrel	qui
repaire	VERcjg	repairier
od	PRE	o
victoire	NOMcom	victoire
,	PONfbl	,
”	PONpdr	”
E	CONcoo	et
uncor	ADVgen	encore
demanderent	VERcjg	demander
Angele	NOMcom	ange
ki	PROrel	qui
el	PRE.DETdef	en
ciel	NOMcom	ciel
erent	VERcjg	être
:	PONfbl	:
“	PONpga	“
Pur	PRE	pour
quei	PROint	quoi
at	VERcjg	avoir
vesteüre	NOMcom	vestëure
De	PRE	de
vermeille	ADJqua	vermeil
figure	NOMcom	figure
?	PONfrt	?

”	PONpdr	”
Li	DETdef	le
angele	NOMcom	ange
e	CONcoo	et
Nostre	DETpos	notre
Sire	NOMcom	seignor
Respundent	VERcjg	répondre
:	PONfbl	:
“	PONpga	“
Pur	PRE	pour
