"lemma","count_final","rate_final","count_all","rate_all","vs_all","count_not_final","rate_not_final","vs_not_final","diff_rates"
"rage",9,0.000452488687782805,10,8.35414908814463e-05,119701,1,1.00189357886405e-05,99811,45.1633484162896
"repos",9,0.000452488687782805,10,8.35414908814463e-05,119701,1,1.00189357886405e-05,99811,45.1633484162896
"saison",9,0.000452488687782805,10,8.35414908814463e-05,119701,1,1.00189357886405e-05,99811,45.1633484162896
"commandement",17,0.000854700854700855,19,0.000158728832674748,119701,2,2.00378715772811e-05,99811,42.6542735042735
"entremetre",17,0.000854700854700855,19,0.000158728832674748,119701,2,2.00378715772811e-05,99811,42.6542735042735
"decevoir",38,0.00191050779286073,43,0.000359228410790219,119701,5,5.00946789432027e-05,99811,38.1379386626445
"cointe",15,0.000754147812971342,17,0.000142020534498459,119701,2,2.00378715772811e-05,99811,37.6361236802413
"esprendre",13,0.00065359477124183,15,0.000125312236322169,119701,2,2.00378715772811e-05,99811,32.6179738562091
"ennuyer",19,0.000955253896430367,22,0.000183791279939182,119701,3,3.00568073659216e-05,99811,31.7816155522038
"alëure",12,0.000603318250377074,14,0.000116958087234025,119701,2,2.00378715772811e-05,99811,30.1088989441931
"volonté",12,0.000603318250377074,14,0.000116958087234025,119701,2,2.00378715772811e-05,99811,30.1088989441931
"manière",22,0.00110608345902464,26,0.00021720787629176,119701,4,4.00757431545621e-05,99811,27.599824032177
"desfermer",11,0.000553041729512318,13,0.00010860393814588,119701,2,2.00378715772811e-05,99811,27.599824032177
"retraire",26,0.00130718954248366,31,0.000258978621732483,119701,5,5.00946789432027e-05,99811,26.0943790849673
"desservir",10,0.000502765208647562,12,0.000100249789057736,119701,2,2.00378715772811e-05,99811,25.0907491201609
"plaid",10,0.000502765208647562,12,0.000100249789057736,119701,2,2.00378715772811e-05,99811,25.0907491201609
"appareiller",19,0.000955253896430367,23,0.000192145429027326,119701,4,4.00757431545621e-05,99811,23.8362116641528
"atendre",33,0.00165912518853695,40,0.000334165963525785,119701,7,7.01325505204837e-05,99811,23.6569920275803
"conseillier",14,0.000703871292106586,17,0.000142020534498459,119701,3,3.00568073659216e-05,99811,23.4180325121502
"volenté",9,0.000452488687782805,11,9.18956399695909e-05,119701,2,2.00378715772811e-05,99811,22.5816742081448
"retorner",30,0.00150829562594268,37,0.000309103516261351,119701,7,7.01325505204837e-05,99811,21.5063563887093
"mentir",29,0.00145801910507793,36,0.000300749367173207,119701,7,7.01325505204837e-05,99811,20.789477842419
"novele",12,0.000603318250377074,15,0.000125312236322169,119701,3,3.00568073659216e-05,99811,20.0725992961287
"allumer",8,0.000402212166918049,10,8.35414908814463e-05,119701,2,2.00378715772811e-05,99811,20.0725992961287
"église",8,0.000402212166918049,10,8.35414908814463e-05,119701,2,2.00378715772811e-05,99811,20.0725992961287
"estable",8,0.000402212166918049,10,8.35414908814463e-05,119701,2,2.00378715772811e-05,99811,20.0725992961287
"guile",8,0.000402212166918049,10,8.35414908814463e-05,119701,2,2.00378715772811e-05,99811,20.0725992961287
"nommer",8,0.000402212166918049,10,8.35414908814463e-05,119701,2,2.00378715772811e-05,99811,20.0725992961287
"vent",8,0.000402212166918049,10,8.35414908814463e-05,119701,2,2.00378715772811e-05,99811,20.0725992961287
"isnellement",20,0.00100553041729512,25,0.000208853727203616,119701,5,5.00946789432027e-05,99811,20.0725992961287
"atorner",31,0.00155857214680744,39,0.00032581181443764,119701,8,8.01514863091242e-05,99811,19.4453305681247
