"lemma","count","rate","count_all","rate_all","vs_all","rate_not_final","vs_not_final","diff_rates"
"vent",2,0.00219298245614035,10,8.35414908814463e-05,119701,8.01514863091242e-05,99811,27.3604714912281
"dedenz",4,0.0043859649122807,21,0.000175437130851037,119701,0.000170321908406889,99811,25.7510319917441
"dan",3,0.00328947368421053,16,0.000133666385410314,119701,0.000130246165252327,99811,25.2558198380567
"enz",3,0.00328947368421053,16,0.000133666385410314,119701,0.000130246165252327,99811,25.2558198380567
"baisier",4,0.0043859649122807,22,0.000183791279939182,119701,0.00018034084419553,99811,24.3204191033138
"covoitier",2,0.00219298245614035,11,9.18956399695909e-05,119701,9.01704220977648e-05,99811,24.3204191033138
"sovent",2,0.00219298245614035,11,9.18956399695909e-05,119701,9.01704220977648e-05,99811,24.3204191033138
"çaienz",3,0.00328947368421053,18,0.000150374683586603,119701,0.000150284036829608,99811,21.8883771929825
"corir",9,0.00986842105263158,57,0.000476186498024244,119701,0.000480908917854745,99811,20.5203536184211
"devant",19,0.0208333333333333,121,0.0010108520396655,119701,0.00102193145044133,99811,20.3862336601307
"pendre",9,0.00986842105263158,62,0.000517957243464967,119701,0.000531003596797948,99811,18.5844712015889
"néant",4,0.0043859649122807,28,0.00023391617446805,119701,0.000240454458927373,99811,18.2403143274854
"souffrir",2,0.00219298245614035,14,0.000116958087234025,119701,0.000120227229463686,99811,18.2403143274854
"deviser",2,0.00219298245614035,15,0.000125312236322169,119701,0.000130246165252327,99811,16.8372132253711
"quant",2,0.00219298245614035,15,0.000125312236322169,119701,0.000130246165252327,99811,16.8372132253711
"dolent",4,0.0043859649122807,31,0.000258978621732483,119701,0.000270511266293294,99811,16.2136127355426
"douter",2,0.00219298245614035,16,0.000133666385410314,119701,0.000140265101040967,99811,15.6345551378446
"peser",6,0.00657894736842105,50,0.000417707454407231,119701,0.000440833174700183,99811,14.9238935406699
"sergent",3,0.00328947368421053,25,0.000208853727203616,119701,0.000220416587350092,99811,14.9238935406699
"fortement",5,0.00548245614035088,42,0.000350874261702074,119701,0.0003707006241797,99811,14.7894440493125
"parent",2,0.00219298245614035,17,0.000142020534498459,119701,0.000150284036829608,99811,14.5922514619883
"tendre",3,0.00328947368421053,26,0.00021720787629176,119701,0.000230435523138732,99811,14.275028604119
"atendre",4,0.0043859649122807,40,0.000334165963525785,119701,0.000360681688391059,99811,12.1602095516569
"rompre",1,0.00109649122807018,10,8.35414908814463e-05,119701,9.01704220977648e-05,99811,12.1602095516569
"comment",11,0.0120614035087719,113,0.000944018846960343,119701,0.00102193145044133,99811,11.8025563295494
"trembler",1,0.00109649122807018,11,9.18956399695909e-05,119701,0.000100189357886405,99811,10.9441885964912
"défendre",2,0.00219298245614035,23,0.000192145429027326,119701,0.000210397651561451,99811,10.4230367585631
"plorer",2,0.00219298245614035,23,0.000192145429027326,119701,0.000210397651561451,99811,10.4230367585631
"aimer",1,0.00109649122807018,12,0.000100249789057736,119701,0.000110208293675046,99811,9.94926236044657
"dormir",4,0.0043859649122807,51,0.000426061603495376,119701,0.000470889982066105,99811,9.3142030608436
"amender",1,0.00109649122807018,13,0.00010860393814588,119701,0.000120227229463686,99811,9.12015716374269
"tirer",1,0.00109649122807018,13,0.00010860393814588,119701,0.000120227229463686,99811,9.12015716374269
"trespasser",1,0.00109649122807018,13,0.00010860393814588,119701,0.000120227229463686,99811,9.12015716374269
"ataindre",1,0.00109649122807018,14,0.000116958087234025,119701,0.000130246165252327,99811,8.41860661268556
"bellement",1,0.00109649122807018,14,0.000116958087234025,119701,0.000130246165252327,99811,8.41860661268556
"merveiller",1,0.00109649122807018,14,0.000116958087234025,119701,0.000130246165252327,99811,8.41860661268556
"sanc",1,0.00109649122807018,14,0.000116958087234025,119701,0.000130246165252327,99811,8.41860661268556
"attendre",2,0.00219298245614035,29,0.000242270323556194,119701,0.000270511266293294,99811,8.10680636777128
"gaber",1,0.00109649122807018,15,0.000125312236322169,119701,0.000140265101040967,99811,7.8172775689223
"repentir",1,0.00109649122807018,15,0.000125312236322169,119701,0.000140265101040967,99811,7.8172775689223
"sëoir",3,0.00328947368421053,46,0.000384290858054653,119701,0.000430814238911543,99811,7.63548041615667
"rire",2,0.00219298245614035,33,0.000275686919908773,119701,0.000310587009447856,99811,7.06076683644595
"blanc",2,0.00219298245614035,34,0.000284041068996917,119701,0.000320605945236497,99811,6.84011787280702
"loisir",1,0.00109649122807018,17,0.000142020534498459,119701,0.000160302972618248,99811,6.84011787280702
"demander",8,0.0087719298245614,137,0.00114451842507581,119701,0.00129244271673463,99811,6.78709370325037
"atant",5,0.00548245614035088,88,0.000735165119756727,119701,0.000831571670457164,99811,6.59288469668146
"apercevoir",2,0.00219298245614035,37,0.000309103516261351,119701,0.000350662752602419,99811,6.25382205513784
"grand",2,0.00219298245614035,38,0.000317457665349496,119701,0.000360681688391059,99811,6.08010477582846
"trancher",1,0.00109649122807018,19,0.000158728832674748,119701,0.00018034084419553,99811,6.08010477582846
"taire",2,0.00219298245614035,40,0.000334165963525785,119701,0.00038071955996834,99811,5.76009926131117
"fuir",2,0.00219298245614035,42,0.000350874261702074,119701,0.000400757431545621,99811,5.47209429824561
"dépendre",1,0.00109649122807018,21,0.000175437130851037,119701,0.000200378715772811,99811,5.47209429824561
"crïer",2,0.00219298245614035,44,0.000367582559878364,119701,0.000420795303122902,99811,5.21151837928154
"laienz",1,0.00109649122807018,23,0.000192145429027326,119701,0.000220416587350092,99811,4.97463118022328
"pourpenser",1,0.00109649122807018,23,0.000192145429027326,119701,0.000220416587350092,99811,4.97463118022328
"penser",3,0.00328947368421053,70,0.000584790436170124,119701,0.000671268697838916,99811,4.90038295365279
"entendre",5,0.00548245614035088,117,0.000977435443312921,119701,0.00112212080832774,99811,4.88579848057644
"ardre",1,0.00109649122807018,25,0.000208853727203616,119701,0.000240454458927373,99811,4.56007858187134
"demeurer",1,0.00109649122807018,25,0.000208853727203616,119701,0.000240454458927373,99811,4.56007858187134
"tant",20,0.0219298245614035,506,0.00422719943860118,119701,0.0048692027932793,99811,4.50378131542849
"demorer",1,0.00109649122807018,27,0.000225562025379905,119701,0.000260492330504654,99811,4.20930330634278
"querre",3,0.00328947368421053,97,0.000810352461550029,119701,0.00094177996413221,99811,3.49282614781635
"Jean",1,0.00109649122807018,34,0.000284041068996917,119701,0.000330624881025138,99811,3.31642078681552
"valoir",2,0.00219298245614035,69,0.000576436287081979,119701,0.000671268697838916,99811,3.26692196910186
"prendre",11,0.0120614035087719,400,0.00334165963525785,119701,0.00389736602178117,99811,3.09475770080729
"chëoir",1,0.00109649122807018,38,0.000317457665349496,119701,0.0003707006241797,99811,2.95788880986249
"tenir",6,0.00657894736842105,263,0.00219714121018204,119701,0.00257486649768062,99811,2.55506348556215
"mener",2,0.00219298245614035,101,0.000843769057902607,119701,0.000991874643075413,99811,2.21094719121035
"dedans",1,0.00109649122807018,59,0.000492894796200533,119701,0.000581098275741151,99811,1.88692906836056
"conter",2,0.00219298245614035,124,0.00103591448692993,119701,0.00122231016621414,99811,1.79412927811332
